Number,Type,Name,Registration Point,Filename
1,bitmap,1.01,"(50, 44)",
2,bitmap,1.02,"(50, 44)",
3,bitmap,1.10,"(50, 44)",
4,bitmap,1.11,"(50, 44)",
5,bitmap,1.12,"(50, 44)",
6,bitmap,1.13,"(50, 44)",
7,bitmap,1.14,"(50, 44)",
8,bitmap,1.15,"(50, 44)",
9,bitmap,1.16,"(50, 44)",
10,bitmap,1.18,"(50, 44)",
11,bitmap,1.22,"(50, 44)",
12,bitmap,1.25,"(50, 44)",
13,bitmap,1.25a,"(50, 44)",
14,bitmap,1.26,"(50, 44)",
15,bitmap,1.28,"(50, 44)",
16,bitmap,1.29,"(50, 44)",
17,bitmap,1.30,"(50, 44)",
18,bitmap,2.01,"(50, 50)",
19,bitmap,2.02,"(50, 50)",
20,bitmap,2.03,"(50, 50)",
21,bitmap,2.04,"(50, 50)",
22,bitmap,2.05,"(50, 50)",
23,bitmap,2.06,"(50, 50)",
24,bitmap,2.07,"(50, 50)",
25,bitmap,2.08,"(50, 50)",
26,bitmap,2.09,"(50, 50)",
27,bitmap,2.12,"(50, 50)",
28,bitmap,2.13,"(50, 50)",
29,bitmap,2.14,"(50, 50)",
30,bitmap,2.17,"(50, 50)",
31,bitmap,2.20,"(50, 50)",
32,bitmap,2.30.1,"(50, 50)",
33,bitmap,2.31,"(50, 50)",
34,bitmap,2.32,"(50, 50)",
35,bitmap,2.34,"(50, 50)",
36,bitmap,2.35,"(50, 50)",
37,bitmap,2.36,"(50, 50)",
38,bitmap,2.37,"(50, 50)",
39,bitmap,2.38,"(50, 50)",
40,bitmap,2.39,"(50, 50)",
41,bitmap,2.40,"(50, 50)",
42,bitmap,2.42,"(50, 50)",
43,bitmap,2.43,"(50, 50)",
44,bitmap,2.45,"(50, 50)",
45,bitmap,2.46,"(50, 50)",
46,bitmap,2.49-5.04,"(50, 78)",
47,bitmap,2.49-5.05,"(50, 77)",
48,bitmap,2.49-5.06,"(50, 77)",
49,bitmap,2.49,"(50, 50)",
50,bitmap,2.50-5.04,"(50, 78)",
51,bitmap,2.50-5.05,"(50, 77)",
52,bitmap,2.50-5.06,"(50, 77)",
53,bitmap,2.50,"(50, 50)",
54,bitmap,2.53,"(50, 50)",
55,bitmap,2.54,"(50, 50)",
56,bitmap,2.55,"(50, 50)",
57,bitmap,2.57,"(50, 50)",
58,bitmap,2.58,"(50, 50)",
59,bitmap,2.59-5-a,"(50, 36)",
60,bitmap,2.59-6-a,"(50, 36)",
61,bitmap,2.60,"(50, 50)",
62,bitmap,2.61,"(50, 50)",
63,bitmap,2.62,"(50, 50)",
64,bitmap,2.64,"(50, 50)",
65,bitmap,2.65.1,"(50, 42)",
66,bitmap,2.65.2,"(43, 42)",
67,bitmap,2.65.3,"(36, 42)",
68,bitmap,20002,"(205, 137)",
69,bitmap,20003,"(205, 137)",
70,bitmap,20006,"(200, 137)",
71,bitmap,20008,"(205, 137)",
72,bitmap,20009,"(200, 137)",
73,bitmap,20010,"(171, 137)",
74,bitmap,20012,"(200, 137)",
75,bitmap,20014,"(205, 137)",
76,bitmap,20015,"(200, 137)",
77,bitmap,20019,"(202, 137)",
78,bitmap,20023,"(202, 137)",
79,bitmap,20025,"(205, 137)",
80,bitmap,20026,"(202, 137)",
81,bitmap,20030,"(172, 137)",
82,bitmap,20032,"(205, 137)",
83,bitmap,20033,"(205, 137)",
84,bitmap,20034,"(171, 137)",
85,bitmap,20035,"(205, 137)",
86,bitmap,20036,"(205, 137)",
87,bitmap,20037,"(173, 137)",
88,bitmap,20040,"(205, 137)",
89,bitmap,20045,"(200, 137)",
90,bitmap,20046,"(202, 137)",
91,bitmap,20051,"(202, 137)",
92,bitmap,20052,"(202, 137)",
93,bitmap,20053,"(202, 137)",
94,bitmap,20054,"(205, 137)",
95,bitmap,20056,"(239, 137)",
96,bitmap,20062,"(199, 137)",
97,bitmap,20063,"(205, 137)",
98,bitmap,20068,"(199, 137)",
99,bitmap,20069,"(205, 137)",
100,bitmap,20077,"(172, 137)",
101,bitmap,20079,"(200, 137)",
102,bitmap,20083,"(205, 137)",
103,bitmap,20094,"(205, 137)",
104,bitmap,20095,"(205, 137)",
105,bitmap,20096,"(205, 137)",
106,bitmap,20097,"(205, 137)",
107,bitmap,20099,"(205, 137)",
108,bitmap,20100,"(205, 137)",
109,bitmap,20103,"(205, 137)",
